time,Q_in_total,res1_target_min,res1_target_max,res2_target_min,res2_target_max
2021-03-04 00:00:00,59,350,400,20,25
2021-03-04 06:00:00,70,350,400,20,25
2021-03-04 12:00:00,88,350,400,20,25
2021-03-04 18:00:00,119,350,400,20,25
2021-03-05 00:00:00,171,350,400,20,25
2021-03-05 06:00:00,219,350,400,20,25
2021-03-05 12:00:00,248,350,400,20,25
2021-03-05 18:00:00,253,350,400,20,25
2021-03-06 00:00:00,240,350,400,20,25
2021-03-06 06:00:00,214,350,400,20,25
2021-03-06 12:00:00,185,350,400,20,25
2021-03-06 18:00:00,159,350,400,20,25
2021-03-07 00:00:00,140,350,400,20,25
2021-03-07 06:00:00,129,350,400,20,25
2021-03-07 12:00:00,123,350,400,20,25
2021-03-07 18:00:00,122,350,400,20,25
2021-03-08 00:00:00,128,350,400,20,25
2021-03-08 06:00:00,137,350,400,20,25
2021-03-08 12:00:00,150,350,400,20,25
2021-03-08 18:00:00,192,350,400,20,25
2021-03-09 00:00:00,285,350,400,20,25
2021-03-09 06:00:00,411,350,400,20,25
2021-03-09 12:00:00,580,350,400,20,25
2021-03-09 18:00:00,787,350,400,20,25
2021-03-10 00:00:00,981,350,400,20,25
2021-03-10 06:00:00,1120,350,400,20,25
2021-03-10 12:00:00,1230,350,400,20,25
2021-03-10 18:00:00,1373,350,400,20,25
2021-03-11 00:00:00,1535,350,400,20,25
