time,Q_in_total,R1,R2
2021-03-04 00:00:00,59.000000,59.000000,59.000000
2021-03-04 06:00:00,23.333333,23.333333,23.333333
2021-03-04 12:00:00,29.333333,29.333333,29.333333
2021-03-04 18:00:00,39.666667,39.666667,39.666667
2021-03-05 00:00:00,57.000000,57.000000,57.000000
2021-03-05 06:00:00,73.000000,73.000000,73.000000
2021-03-05 12:00:00,82.666667,82.666667,82.666667
2021-03-05 18:00:00,84.333333,84.333333,84.333333
2021-03-06 00:00:00,80.000000,80.000000,80.000000
2021-03-06 06:00:00,71.333333,71.333333,71.333333
2021-03-06 12:00:00,61.666667,61.666667,61.666667
2021-03-06 18:00:00,53.000000,53.000000,53.000000
2021-03-07 00:00:00,46.666667,46.666667,46.666667
2021-03-07 06:00:00,43.000000,43.000000,43.000000
2021-03-07 12:00:00,41.000000,41.000000,41.000000
2021-03-07 18:00:00,40.666667,40.666667,40.666667
2021-03-08 00:00:00,42.666667,42.666667,42.666667
2021-03-08 06:00:00,45.666667,45.666667,45.666667
2021-03-08 12:00:00,50.000000,50.000000,50.000000
2021-03-08 18:00:00,64.000000,64.000000,64.000000
2021-03-09 00:00:00,95.000000,95.000000,95.000000
2021-03-09 06:00:00,137.000000,137.000000,137.000000
2021-03-09 12:00:00,193.333333,193.333333,193.333333
2021-03-09 18:00:00,262.333333,262.333333,262.333333
2021-03-10 00:00:00,327.000000,327.000000,327.000000
2021-03-10 06:00:00,373.333333,373.333333,373.333333
2021-03-10 12:00:00,410.000000,410.000000,410.000000
2021-03-10 18:00:00,457.666667,457.666667,457.666667
2021-03-11 00:00:00,511.666667,511.666667,511.666667
