time,Q_dam_merril,Q_dam_wis_rap,Q_rel_eau,Q_rel_spirit,V_eau,V_spirit
2013-01-01 00:00:00,63.929758,70.048069,26.888046,28.543338,71186221.303650,32138660.016935
2013-01-01 06:00:00,67.578182,71.660904,34.603790,33.989804,71099348.605458,32138660.054694
2013-01-01 12:00:00,64.153727,80.698584,43.108092,28.339799,71000041.662135,32138660.044965
2013-01-01 18:00:00,63.793942,80.699959,39.817296,25.501347,71106376.289225,32138659.996194
2013-01-02 00:00:00,70.135485,80.700104,41.093226,36.818632,71240198.269035,32138660.005292
2013-01-02 06:00:00,75.798845,80.700015,37.335305,42.481946,71247234.383767,32138660.047894
2013-01-02 12:00:00,78.114153,80.699866,40.796211,39.662467,71234562.354910,32138660.020294
2013-01-02 18:00:00,78.634955,80.699681,42.223973,42.481947,71166585.146541,32138660.049082
2013-01-03 00:00:00,73.716623,80.699767,34.074682,41.066119,71396960.229740,32138660.045542
2013-01-03 06:00:00,73.760046,76.067472,34.231924,38.243806,71165821.925684,32138660.048555
2013-01-03 12:00:00,68.143232,80.691778,38.025692,35.475577,71206876.713821,32138660.045723
2013-01-03 18:00:00,64.968061,79.612701,41.172231,32.306953,71186082.653751,32138660.033551
2013-01-04 00:00:00,64.968059,78.646815,40.206345,32.306951,71186151.721304,32138660.045197
